item,theme,category,valence,arousal,beauty
237,Dirt2,Scene,5.6,3.35,5.86
238,Dirt3,Scene,4.14,2.04,3.94
239,Dirt4,Scene,4,1.91,3.33
240,Dirt5,Scene,3.54,1.99,3.25
241,Dock1,Scene,5.56,3.64,5.98
242,Doctor1,Person,4.67,3.15,3.28
243,Doctor2,Person,4.06,3.65,3.44
244,Doctor3,Person,4.35,3.18,3.41
245,Doctor4,Person,3.81,3.88,2.85
246,Doctor5,Person,3.68,3.64,2.94
247,Doctor6,Person,4.38,2.55,2.99
248,Doctor7,Person,3.34,4.42,2.72
249,Doctor8,Person,3.73,3.92,3.09
250,Doctor9,Person,3.68,4.11,3.19
251,Dog1,Animal,5.14,4.32,5.26
252,Dog2,Animal,5.9,4.4,5.66
253,Dog3,Animal,5.75,3.52,5.11
254,Dog4,Animal,6.2,3.96,6
255,Dog5,Animal,5.94,4.67,5.4
256,Dog6,Animal,6.49,5.03,5.95
257,Dog7,Animal,5.66,3.97,5.86
258,Dog8,Animal,5.43,4.39,5.21
259,Dog9,Animal,4.13,4.06,4.48
260,Dog10,Animal,5.65,3.88,5.23
261,Dog11,Animal,5.66,3.63,5.01
262,Dog12,Animal,6.29,4.41,5.54
263,Dog13,Animal,5.85,4.06,5.2
264,Dog14,Animal,5.89,4.19,5.23
265,Dog15,Animal,3.43,3.93,3.76
266,Dog16,Animal,5.39,4.81,5.4
267,Dog17,Animal,5.23,3.84,5.05
268,Dog18,Animal,6.2,4.88,5.79
269,Dog19,Animal,5.94,4.35,5.2
270,Dog20,Animal,5.9,4.19,4.95
271,Dog21,Animal,5.99,4.05,5.14
272,Dog22,Animal,5.1,3.88,5.3
273,Dog23,Animal,2.68,4.82,4.94
274,Dog24,Animal,1.89,4.77,2.95
275,Dog25,Animal,3.45,4.06,4.67
276,Dog26,Animal,1.3,4.86,1.86
277,Dog27,Animal,5.33,4.22,5.58
278,Dog28,Animal,5.59,3.56,4.67
279,Dog29,Animal,5.36,4,5.08
280,Dog30,Animal,4.58,3.57,4.34
281,Dog31,Animal,2.08,4.2,4.04
282,Dogattack1,Animal,2.85,4.59,3.11
283,Dogattack2,Animal,3.43,4.48,3.45
284,Dogattack3,Animal,2.65,5.09,3.39
285,Drink1,Object,4.56,2.71,4.69
286,Drink2,Object,4.36,2.87,4.49
287,Dummy1,Object,1.16,5.2,1.85
288,Eating1,Person,5.68,3.48,4.65
289,Eating2,Person,5.33,3.24,4.43
290,Eating3,Person,5.15,2.63,4.02
291,Elephant1,Animal,5.86,4.39,5.59
292,Excitedface1,Person,5.57,3.83,4.56
293,Excitedface2,Person,5.82,4.07,5.11
294,Excitedface3,Person,5.76,3.47,4.75
295,Excitedface4,Person,4.25,3.09,3.16
296,Excitedface5,Person,5.65,3.71,5.06
297,Excitedface6,Person,5.73,3.48,4.92
298,Excitedface7,Person,4.75,3.49,4.11
299,Exercise1,Person,4.71,3.63,3.68
300,Exercise2,Person,4.69,3.9,3.52
301,Exercise3,Person,4.83,4.3,4.22
302,Explosion1,Scene,2.65,5.15,4.92
303,Explosion2,Scene,2.38,4.99,5.01
304,Explosion3,Scene,2.65,4.92,4.34
305,Explosion4,Scene,2.5,4.31,4.73
306,Explosion5,Scene,1.82,5.46,4.35
307,Explosion6,Scene,2.26,4.82,4.31
308,Father1,Person,6.03,4.4,5.45
309,Feces1,Object,2.14,3.07,1.82
310,Feces2,Object,2.01,3.52,1.58
311,Fence1,Object,3.73,2.16,3.19
312,Fence2,Object,4.22,2.3,4.46
313,Fence3,Object,3.85,2.5,4.05
314,Fence4,Object,2.88,3.16,3.27
315,Fence5,Object,3.77,2.07,3.86
316,Fence6,Object,4.31,2.5,4.87
317,Ferret1,Animal,2.8,4.49,3.11
318,Fire1,Person,4.41,4.36,4.74
319,Fire2,Scene,1.96,4.68,4.83
320,Fire3,Scene,2.06,4.52,4.71
321,Fire4,Scene,4.32,4.21,5.12
322,Fire5,Scene,1.74,5.29,4.65
323,Fire6,Scene,2.23,4.52,4.4
324,Fire7,Scene,1.74,4.6,2.94
325,Fire8,Scene,4.2,4.69,5.27
326,Fire9,Scene,1.47,5.15,4.17
327,Fire10,Scene,2.47,4.66,5.1
328,Fire11,Scene,1.75,5.32,5.47
329,Firehydrant1,Object,4.2,2.33,3.65
330,Firehydrant2,Object,4.22,1.98,3.25
331,Firehydrant3,Object,4.25,2.35,3.88
332,Firehydrant4,Object,4.44,2.3,4.39
333,Fireman1,Person,3.1,4.86,3.83
334,Fireworks1,Scene,6.16,4.42,6.07
335,Fireworks2,Scene,6.27,4.98,6.35
336,Fireworks3,Scene,6.09,4.63,5.96
337,Fireworks4,Scene,5.95,4.32,5.67
338,Fireworks5,Scene,5.8,4.21,5.97
339,Fireworks6,Scene,6.11,4.78,6.02
340,Fireworks7,Scene,5.75,4.45,5.9
341,Flood1,Scene,2.36,4.13,3.19
342,Flood2,Scene,2.36,3.85,3.52
343,Flood3,Scene,2.29,4.29,3.33
344,Flowers1,Object,5.76,3.68,5.87
345,Flowers2,Object,5.95,3.46,5.79
346,Flowers3,Object,5.79,3.71,6.08
347,Flowers4,Object,5.7,3.72,5.83
348,Flowers5,Object,5.63,3.49,5.72
349,Flowers6,Object,5.94,3.01,5.79
350,Flowers7,Object,5.68,3.5,5.57
351,Flowers8,Object,5.91,3.7,5.87
352,Flowers9,Object,5.89,4.08,5.84
353,Flowers10,Object,5.26,3.16,5.34
354,Food1,Object,4.84,3.15,4.25
355,Food2,Object,5.34,2.96,4.84
356,Food3,Object,5.3,2.84,5.15
357,Food4,Object,5.61,3.42,5.03
358,Food5,Object,5.47,3.15,5.17
359,Food6,Object,5.66,3.67,5.04
360,Footballplayer1,Person,4.77,3.58,3.63
361,Frisbee1,Person,5.59,3.22,4.11
362,Frustratedpose1,Person,2.35,4.25,3.01
363,Frustratedpose2,Person,2.64,3.49,3.1
364,Frustratedpose3,Person,2.35,3.56,2.99
365,Frustratedpose4,Person,3.42,3.28,3.36
366,Frustratedpose5,Person,2.46,3.74,3.13
367,Frustratedpose6,Person,4.68,4.04,3.84
368,Frustratedpose7,Person,2.7,3.25,3.07
369,Frustratedpose8,Person,3.74,3.37,3.19
370,Funeral1,Scene,2.92,4.24,4.68
371,Galaxy1,Scene,5.6,4.09,6.31
372,Galaxy2,Scene,5.77,4.44,5.98
373,Galaxy3,Scene,5.45,4.01,5.85
374,Galaxy4,Scene,5.43,4.46,6.2
375,Galaxy5,Scene,5.61,4.42,5.86
376,Galaxy6,Scene,5.34,4.17,5.83
377,Galaxy7,Scene,6.06,4.5,6.41
378,Galaxy8,Scene,5.52,4.57,5.94
379,Garbagedump1,Scene,2.2,2.86,2.33
380,Garbagedump2,Scene,1.6,3.78,1.86
381,Garbagedump3,Scene,2,3.47,2.28
382,Garbagedump4,Scene,1.64,3.79,1.94
383,Garbagedump5,Scene,2.14,3.33,2.24
384,Garbagedump6,Scene,1.96,3.32,2.35
385,Garbagedump7,Scene,2.74,2.48,2.14
386,Garbagedump8,Scene,2.06,3.15,2.32
387,Gargoyle1,Object,3.9,3.74,3.81
388,Gargoyle2,Object,3.27,3.76,3.98
389,Gazing1,Person,4.86,3.09,4.78
390,Gazing2,Person,5.11,3.38,5.24
391,Gazing3,Person,5.43,3.31,5.06
392,Gazing4,Person,4.49,3.01,4.19
393,Gazing5,Person,5.44,3.31,5.38
394,Gazing6,Person,5.84,3.49,5.76
395,Gazing7,Person,4.98,3.56,5.18
396,Goat1,Animal,5.33,3.31,4.99
397,Goat2,Animal,5.2,3.04,5.19
398,Gorrila1,Animal,3.91,3.54,4.57
399,Grass1,Scene,4.96,2.23,4.85
400,Grass2,Scene,4.94,2.43,5.2
401,Grass3,Scene,5.01,2.11,5.43
402,Grass4,Scene,5.23,2.11,4.98
403,Grass5,Scene,4.94,2.43,5.17
404,Grass6,Scene,5.16,2.85,5.34
405,Grass7,Scene,4.89,2.34,5.21
406,Graveyard1,Scene,3.2,3.46,4.95
407,Graveyard2,Scene,3.28,3.57,4.7
408,Graveyard3,Scene,3.58,3.61,4.49
409,Graveyard4,Scene,3.21,3.63,4.86
410,Guitar1,Person,5.53,3.26,5.06
411,Gun1,Object,2.73,4.02,3.01
412,Gun2,Person,2.75,4.2,2.99
413,Gun3,Object,2.97,4.03,2.84
414,Gun4,Object,2.86,3.89,3.17
415,Gun5,Object,2.92,4.12,2.91
416,Gun6,Object,2.84,3.96,2.42
417,Gun7,Object,2.88,4.02,2.88
418,Gun8,Object,3.08,3.94,2.86
419,Gun9,Object,2.88,4.35,2.24
420,Gun10,Object,2.64,4.17,2.67
421,Hallway1,Scene,2.61,3.38,2.97
422,Hanggliding1,Person,5.06,4.35,4.85
423,Hanggliding2,Person,5.18,4.2,4.52
424,Hanggliding3,Person,4.93,4.1,4.32
425,Hangover1,Person,2.42,3.35,2.24
426,Happyface1,Person,5.47,3.03,4.26
427,Happyface2,Person,5.19,3.17,3.57
428,Happypose1,Person,4.89,3.88,5.1
429,Happypose2,Person,5.61,3.93,4.8
430,Happypose3,Scene,5.74,3.93,5.87
431,Heart1,Object,4.67,2.77,4.46
432,Heart2,Object,4.93,3.1,4.25
433,Heart3,Object,4.75,2.53,5
434,Horse1,Animal,5.94,3.72,5.74
435,Horseracing1,Animal,4.22,4.31,4.77
436,House1,Scene,4.71,3.07,5.32
437,Injury1,Person,1.97,4.53,1.46
438,Injury2,Person,2.09,4.06,2.09
439,Injury3,Person,1.97,4.7,1.94
440,Injury4,Person,1.39,5.47,1.44
441,Intensity1,Person,2.81,4.15,2.41
442,Jail1,Scene,2.23,3.73,3.19
443,Jail2,Scene,2.02,3.65,2.68
444,Jail3,Scene,2.52,3.9,3.09
445,Jail4,Scene,2.11,3.43,3.03
446,Jail5,Scene,3.07,3.29,3.86
447,Keyboard1,Object,4.17,2.15,3.32
448,Keyboard2,Object,4.11,2.37,3.16
449,Keyboard3,Object,4.33,2.29,3.65
450,Keys1,Object,4.03,2.37,3.59
451,KKKrally1,Person,1.34,4.7,1.96
452,KKKrally2,Person,1.25,4.98,1
453,Knife1,Object,3.25,3.62,3.06
454,Knife2,Object,3.34,3.7,3.62
455,Lake1,Scene,6.25,3.97,6.28
456,Lake2,Scene,6.39,3.89,6.38
457,Lake3,Scene,5.96,3.22,6.38
458,Lake4,Scene,5.79,3.28,5.94
459,Lake5,Scene,5.95,4.3,6.39
460,Lake6,Scene,4.48,2.48,4.65
461,Lake7,Scene,6.09,3.59,6.46
462,Lake8,Scene,6.21,3.96,6.37
463,Lake9,Scene,6.41,4.11,6.59
464,Lake10,Scene,6.15,3.81,6.46
465,Lake11,Scene,5.72,3.98,6.18
466,Lake12,Scene,6.38,4.73,6.64
467,Lake13,Scene,6.17,3.72,6.45
468,Lake14,Scene,6.31,4.66,6.83
469,Lake15,Scene,6.25,4.63,6.62
470,Lake16,Scene,6.11,4.29,6.43
471,Lake17,Scene,5.59,3.61,5.64
472,Lamb1,Animal,5.75,3.95,5.34
473,Lava1,Scene,4.06,4.72,5.84
474,Lightning1,Scene,4.85,4.52,5.85
475,Lightning2,Scene,4.26,4.62,5.88
476,Lightning3,Scene,4.59,4.79,6.21
477,Lightning4,Scene,4.46,4.83,6.2
478,Lightning5,Scene,4.41,4.53,5.74
479,Lightning6,Scene,4.49,4.71,6.06
480,Lightning7,Scene,4.44,4.47,5.94
481,Lion1,Animal,5.02,4.34,5.66
482,Lion2,Animal,3.66,4.28,4.6
483,Lion3,Animal,4.94,3.79,5.5
484,Lion4,Animal,4.63,4.22,5.09
485,Lion5,Animal,3.73,4.69,4.4
486,Massage1,Person,5.71,4.17,5.1
487,Massage2,Person,5.75,4.12,4.52
488,Meerkat1,Animal,4.95,3.35,4.88
489,Memorial1,Scene,4.67,4.4,4.99
490,Memorial2,Scene,2.96,3.87,4.39
491,Memorial3,Scene,3.06,3.53,4.54
492,Miserableface1,Person,3.52,3.44,4.05
493,Miserableface2,Person,2.59,3.89,3.66
494,Miserablepose1,Person,2.56,3.44,3.23
495,Miserablepose2,Person,2.8,3.16,3.46
496,Miserablepose3,Person,1.11,5.15,1.86
497,Miserablepose4,Person,2.58,3.96,3.47
498,Miserablepose5,Person,2.95,3.45,2.89
499,Money1,Object,4.96,3.68,4.27
500,Monkey1,Animal,4.87,4.21,4.86
501,Monkey2,Animal,4.03,3.72,4.1
502,Monkey3,Animal,3.62,3.57,4.1
503,Monkey4,Animal,2.86,3.68,4.1
504,Moon1,Scene,5.27,3.61,5.61
505,Mother1,Person,6.11,4.09,5.7
506,Mother2,Person,5.93,3.85,4.97
507,Mother3,Person,5.09,4.11,3.83
508,Mother4,Person,6.05,4.09,5.3
509,Mother5,Person,5.94,3.51,5.23
510,Mother6,Person,6.08,4.45,5.11
511,Mother7,Person,6.04,4.3,5.12
512,Mother8,Person,5.93,3.97,4.77
513,Mother9,Person,5.98,3.63,4.95
514,Motocross1,Person,4.78,3.87,4.11
515,Musician1,Person,5.41,3.21,4.94
516,Nature1,Scene,6.12,4.43,6.57
517,Nature2,Scene,5.67,3.57,6.24
518,Neonazi1,Person,2.04,4.44,2.04
519,Neutralface1,Person,3.96,2.41,2.52
520,Neutralface2,Person,4.68,2.18,3.55
521,Neutralface3,Person,4.5,2.62,3.04
522,Neutralface4,Person,3.89,2.18,2.9
523,Neutralface5,Person,4.98,3.77,5.36
524,Neutralpose1,Person,5.06,3.02,4.27
525,Neutralpose2,Scene,5.25,3.66,5.9
526,Neutralpose3,Person,3.81,2.6,3.54
527,Nudecouple1,Person,5.42,4.99,4.95
528,Nudecouple2,Person,5.44,4.41,4.72
529,Nudecouple3,Person,5.45,4.5,4.4
530,Nudecouple4,Person,5.36,4.47,3.97
531,Nudecouple5,Person,5.69,5.35,5.28
532,Nudecouple6,Person,5.3,5.43,4.46
533,Nudecouple7,Person,5.69,4.21,4.83
534,Nudecouple8,Person,5.28,4.7,4.82
535,Nudecouple9,Person,5.17,5.06,4.43
536,Nudecouple10,Person,5.5,4.3,4.8
537,Nudecouple11,Person,4.65,5.72,3.14
538,Nudecouple12,Person,5.07,5.22,3.97
539,Nudecouple13,Person,5.79,4.51,5.27
540,Nudecouple14,Person,4.84,5.62,3.48
541,Nudeman1,Person,4.38,3.29,3.66
542,Nudeman2,Person,4.44,3.06,3.17
543,Nudeman4,Person,4.59,3.66,3.3
544,Nudeman5,Person,4.71,3.61,3.44
545,Nudeman6,Person,4,3.52,3.59
546,Nudeman7,Person,4.51,3.75,4.01
547,Nudeman8,Person,3.17,3.76,2.51
548,Nudeman9,Person,3.4,3.5,3.78
549,Nudeman10,Person,3.54,3.72,2.78
550,Nudeman11,Person,3.18,4.16,2.51
551,Nudeman12,Person,4.66,3.41,3.48
552,Nudeman13,Person,4.3,3.49,3.71
553,Nudeman14,Person,4.34,3.7,3.52
554,Nudeman15,Person,3.86,3.54,3.13
555,Nudeman16,Person,4.43,3.88,3.78
556,Nudeman17,Person,3.72,3.49,3.06
557,Nudeman18,Person,3.54,3.52,2.82
558,Nudeman19,Person,4.77,3.8,4.27
559,Nudeman20,Person,3.48,4.22,2.89
560,Nudeman3,Person,4.3,3.26,4.16
561,Nudeman21,Person,3.55,4.31,3.46
562,Nudeman22,Person,4.8,3.9,4.72
563,Nudeman23,Person,3.98,3.59,3.43
564,Nudewoman1,Person,5,4.4,4.38
565,Nudewoman2,Person,4.62,4.71,3.53
566,Nudewoman3,Person,4.62,5.35,4.02
567,Nudewoman4,Person,3.87,4.68,4.21
568,Nudewoman5,Person,5.35,4.94,4.97
569,Nudewoman6,Person,4.8,4.46,4.72
570,Nudewoman7,Person,5.18,4.7,5.35
571,Nudewoman8,Person,5.37,4.78,5.3
572,Nudewoman9,Person,5.21,4.76,4
573,Nudewoman10,Person,5.05,5.17,4.02
574,Nudewoman11,Person,5.19,4.91,5.5
575,Nudewoman12,Person,5.21,4.92,4.9
576,Nudewoman13,Person,5.3,5.26,4.39
577,Nudewoman14,Person,5.09,4.95,4.09
578,Nudewoman15,Person,5.28,5.38,4.83
579,Nudewoman16,Person,4.69,5.45,4.44
