item,theme,category,valence,arousal,beauty
714,Scaryface1,Person,1.78,4.52,1.94
715,Scaryface2,Person,3.04,3.96,2.88
716,School1,Person,5.15,3.15,3.57
717,School2,Person,5.83,3.96,4.98
718,School3,Person,5.09,3.4,4.38
719,School4,Person,4.56,3.32,4.5
720,School5,Person,4.54,2.63,3.86
721,School6,Person,5.61,3.1,4.67
722,School7,Person,5.65,3.19,4.86
723,School8,Person,5.29,3.34,4.38
724,Seal1,Animal,4.64,3.89,4.74
725,Severedfinger1,Person,1.67,4.37,1.82
726,Shark1,Animal,3.76,4.12,5.01
727,Shark2,Animal,3.66,4.56,4.55
728,Shark3,Animal,3.81,4.34,5.34
729,Shark4,Animal,3.08,4.61,3.71
730,Shark5,Animal,3.6,4.45,4.03
731,Shark6,Animal,3.9,3.94,4.97
732,Shark7,Animal,3.81,4.28,4.99
733,Shark8,Animal,4.07,4.45,5.4
734,Shark9,Animal,3.88,4.44,4.95
735,Shark10,Animal,3.24,4.47,4.3
736,Shark11,Animal,3.71,4.36,5.11
737,Shooting1,Person,3.34,4.43,3.15
738,Shot1,Object,2.76,4.22,2.32
739,Shot2,Person,3.7,4.12,2.96
740,Shot3,Object,1.92,4.17,2.21
741,Shot4,Object,2.55,3.6,2.57
742,Shot5,Object,3.03,3.71,2.43
743,Siblings1,Person,6.2,3.98,5.48
744,Sidewalk1,Object,4.31,2.3,4.7
745,Sidewalk2,Object,4.57,2.42,4.83
746,Sidewalk3,Object,4.3,2.23,4.26
747,Sidewalk4,Object,5.46,3.39,5.64
748,Sidewalk5,Object,4.46,1.98,4.76
749,Sidewalk6,Object,2.83,1.92,4.29
750,Skier1,Person,5.47,4.22,5.4
751,Skijump1,Scene,4.5,3.99,4.66
752,Skijump2,Scene,4.86,4.19,4.77
753,Skinhead1,Person,3.06,3.35,2.71
754,Sky1,Scene,4.65,2.87,5.21
755,Skydiving1,Scene,5.23,4.68,5.02
756,Skydiving2,Person,5.33,4.6,5.14
757,Skydiving3,Person,5.08,5.05,5.77
758,Skydiving4,Person,5.39,4.4,3.97
759,Skydiving5,Person,4.89,5.12,4.78
760,Skyscraper1,Scene,4.13,2.25,4.09
761,Skyscraper2,Scene,4.49,2.89,4.56
762,Sleepypose1,Person,2.59,3.48,5.45
763,Sleepypose2,Person,3.64,2.6,2.38
764,Sleepypose3,Person,3.71,2.36,2.41
765,Sleepypose4,Person,3.96,2.52,2.61
766,Smilingface1,Person,5.64,4.13,4.86
767,Snake1,Animal,3,4.18,3.78
768,Snake2,Animal,3.08,4.26,4.26
769,Snake3,Animal,2.91,4.57,4.51
770,Snake4,Animal,2.37,4.8,2.97
771,Snake5,Animal,2.9,4.4,3.76
772,Snake6,Animal,3.11,4.23,4.15
773,Snow1,Scene,4.63,2.29,5.03
774,Snow2,Scene,4.55,2.26,5.39
775,Snow3,Scene,4.56,2.34,4.94
776,Snow4,Scene,3.44,2.66,5.47
777,Snow5,Scene,4.82,2.9,5.72
778,Soccer1,Object,4.36,2.45,3.64
779,Soccer2,Object,4.59,2.86,4.35
780,Socks1,Object,4.2,1.9,2.71
781,Solarpanel1,Scene,5.01,2.73,4.48
782,Soldiers1,Scene,4.16,4.02,5.09
783,Soldiers2,Person,4.01,3.5,3.77
784,Soldiers3,Person,4.39,4.46,4.56
785,Soldiers4,Scene,4.67,4.29,4.01
786,Soldiers5,Person,4.94,3.39,3.57
787,Soldiers6,Person,4.09,3.43,4.03
788,Soldiers7,Person,2.61,4.08,3.1
789,Soldiers8,Person,2.51,3.93,2.83
790,Soldiers9,Person,3.47,4.67,3.93
791,Soldiers10,Scene,2.6,4.17,3.23
792,Soup1,Object,5.05,2.98,4.83
793,Spider1,Animal,3.07,4.02,3.97
794,Spider2,Animal,2.9,4.7,3.25
795,Statue1,Object,5.33,2.81,5.31
796,Statue2,Object,5.04,3.37,4.16
797,Stingray1,Animal,4.54,3.56,5.17
798,Stingray2,Animal,4.75,3.73,5.56
799,Stingray3,Animal,4.53,4.09,5.68
800,Storage1,Object,4.02,2.02,3.59
801,Storage2,Object,4.01,2.25,3.51
802,Storage3,Object,3.71,2.55,2.92
803,Street1,Scene,4.55,2.66,4.15
804,Street2,Scene,4.61,3.16,5.44
805,Street3,Scene,5.06,3.31,5.74
806,Street4,Scene,4.88,2.71,5.19
807,Street5,Scene,4.05,2.24,3.62
808,Sun1,Object,4.42,4.5,5.54
809,Sunflower1,Scene,5.87,3.83,6.07
810,Sunset1,Scene,6.07,3.77,6.44
811,Sunset2,Scene,6.01,4.11,6.41
812,Sunset3,Scene,6.12,3.71,6.49
813,Sunset4,Scene,6.11,4.32,6.51
814,Sunset5,Scene,5.88,3.54,6.25
815,Sunset6,Scene,5.81,3.33,6.04
816,Surgery1,Person,2.91,4.39,2.79
817,Surgery2,Person,4,3.72,3.4
818,Surgery3,Person,3.68,3.91,2.59
819,Surgery4,Person,3.49,3.89,2.88
820,Surgery5,Person,3.99,4.17,3.36
821,Surprise1,Person,4.69,4.07,4.28
822,Surprise2,Person,5.29,3.64,4.49
823,Swimming1,Person,5.06,3.62,4.11
824,Swingset1,Object,4.31,2.71,4.48
825,Thunderstorm1,Scene,3.17,4.55,5.52
826,Thunderstorm2,Scene,5.06,4.55,6.35
827,Thunderstorm3,Scene,3.96,4.68,5.5
828,Thunderstorm4,Scene,3.45,4.64,5.5
829,Thunderstorm5,Scene,4.75,4.52,5.99
830,Thunderstorm6,Scene,4.51,4.51,6.05
831,Thunderstorm7,Scene,4.49,4.16,5.84
832,Thunderstorm8,Scene,4.37,4.74,5.84
833,Thunderstorm9,Scene,4.61,4.75,6.13
834,Thunderstorm10,Scene,4.37,4.41,5.87
835,Thunderstorm11,Scene,3.94,4.41,6.01
836,Tickling1,Person,5.36,3.88,3.74
837,Tiger1,Animal,4.74,4.9,5.86
838,Tiger2,Animal,5.39,4.4,5.86
839,Timber1,Object,3.83,2.67,4.32
840,Timber2,Object,4.33,2.11,4.11
841,Timber3,Object,4.12,2.29,3.79
842,Timber4,Object,4.3,2.27,3.79
843,Toast1,Person,4.8,3.67,3.69
844,Toilet1,Object,3.8,2.36,2.35
845,Toilet2,Object,3.65,2.29,2.28
846,Toilet3,Object,3.83,2.37,3.4
847,Toilet4,Object,2.53,3.16,2.82
848,Tornado1,Scene,2.1,5.06,4.51
849,Tornado2,Scene,3.52,4.72,5.1
850,Tornado3,Scene,2.66,4.68,5.06
851,Tornado4,Scene,2.7,5.14,5.66
852,Tornado5,Scene,3.25,4.28,5.45
853,Torturechamber1,Object,3.36,3.25,3.92
854,Traffic1,Scene,4.62,4.23,5.49
855,Tumor1,Person,1.4,4.94,1.52
856,Volcano1,Scene,3.75,3.98,5.39
857,Volcano2,Scene,2.64,5.24,5.22
858,Volcano3,Scene,4.39,4.06,6.01
859,Wall1,Object,4.08,1.8,2.81
860,Wall2,Object,4.03,1.69,2.7
861,Wall3,Object,4.06,1.81,3.08
862,Wall4,Object,3.99,1.83,3.22
863,Wall5,Object,3.99,1.84,2.72
864,War1,Person,1.76,5,2.2
865,War2,Scene,2.4,4.58,3.15
866,War3,Person,3.46,4.31,3.63
867,War4,Person,2.97,4.78,3.68
868,War5,Scene,2.46,4.39,4.4
869,War6,Person,1.39,5.02,2.31
870,War7,Person,3.18,4.25,2.97
871,War8,Scene,1.72,5.14,3.93
872,Waterfall1,Scene,5.43,4.01,5.61
873,Weapon1,Object,2.84,3.8,3.46
874,Wedding1,Person,5.67,4.1,4.73
875,Wedding2,Person,5.78,3.84,5.37
876,Wedding3,Person,5.78,4.11,4.9
877,Wedding4,Object,5.81,3.12,5.5
878,Wedding5,Person,5.74,4.2,5.52
879,Wedding6,Person,6,3.92,5.39
880,Wedding7,Object,5.28,3.25,4.66
881,Wedding8,Object,5.63,3.86,4.84
882,Wedding9,Person,5.76,4.05,4.99
883,Wedding10,Person,5.79,4.16,5.25
884,Wedding11,Object,5.02,3.49,5
885,Wedding12,Scene,4.9,2.5,4.44
886,Weddingring1,Object,5.75,3.66,5.53
887,Windmill1,Object,3.17,2.54,3.9
888,Wolf1,Animal,5.46,4.27,5.72
889,Wolf2,Animal,3.09,4.67,4.75
890,Woods1,Scene,3.78,3.17,4.79
891,Yarn1,Object,2.6,1.87,3.77
892,Yarn2,Object,4.11,2.17,3.86
893,Yarn3,Object,4.3,1.94,3.76
894,Yarn4,Object,4.2,1.98,4.12
895,Yoga1,Person,5.56,3.47,4.93
896,Yoga2,Person,3.09,3.13,3.76
897,Yoga3,Person,5.49,3.64,5.26
898,Yoga4,Person,5.73,3.99,5.76
899,Yoga5,Person,3.45,3.3,5.36
900,Zebra1,Animal,5.81,3.57,5.73
