Subj,Block,Trial,ImageType,Image,Rating,RT
13,2,39,art,art_105.jpg,1,0.9835
14,1,71,art,art_105.jpg,4,3.0731
14,2,55,art,art_105.jpg,5,1.0412
15,1,95,art,art_105.jpg,2,0.7559
15,2,69,art,art_105.jpg,4,0.5204
16,1,41,art,art_105.jpg,2,0.5879
16,2,15,art,art_105.jpg,1,0.5509
17,1,49,art,art_105.jpg,4,0.756
17,2,10,art,art_105.jpg,2,0.9052
18,1,100,art,art_105.jpg,3,1.1423
18,2,61,art,art_105.jpg,4,0.7214
19,1,72,art,art_105.jpg,6,0.8813
19,2,71,art,art_105.jpg,5,0.5388
20,1,39,art,art_105.jpg,6,0.6662
20,2,38,art,art_105.jpg,6,1.3798
21,1,35,art,art_105.jpg,6,1.5723
21,2,12,art,art_105.jpg,5,1.0281
22,1,98,art,art_105.jpg,7,0.9948
22,2,75,art,art_105.jpg,7,0.6134
23,1,65,art,art_105.jpg,2,1.435
23,2,25,art,art_105.jpg,2,0.6638
24,1,85,art,art_105.jpg,1,0.978
24,2,45,art,art_105.jpg,1,0.6954
1,1,4,art,art_074.jpg,6,2.6747
1,2,96,art,art_074.jpg,6,0.9955
2,1,103,art,art_074.jpg,3,0.83
2,2,57,art,art_074.jpg,3,1.5624
3,1,20,art,art_074.jpg,4,0.5945
3,2,85,art,art_074.jpg,1,1.2432
4,1,25,art,art_074.jpg,6,0.7506
4,2,90,art,art_074.jpg,4,0.3639
5,1,73,art,art_074.jpg,1,0.9841
5,2,34,art,art_074.jpg,2,0.6562
6,1,76,art,art_074.jpg,6,2.0147
6,2,37,art,art_074.jpg,6,1.3002
7,1,42,art,art_074.jpg,1,0.9275
7,2,103,art,art_074.jpg,1,1.5312
8,1,7,art,art_074.jpg,6,1.594
8,2,68,art,art_074.jpg,5,0.618
9,1,62,art,art_074.jpg,5,1.0504
9,2,26,art,art_074.jpg,6,1.6096
10,1,84,art,art_074.jpg,3,0.6016
10,2,48,art,art_074.jpg,4,4.655
11,1,80,art,art_074.jpg,1,0.7159
11,2,103,art,art_074.jpg,1,2.6607
12,1,7,art,art_074.jpg,6,1.0692
12,2,30,art,art_074.jpg,5,0.3606
13,1,72,art,art_074.jpg,1,0.8723
13,2,97,art,art_074.jpg,1,0.8289
14,1,13,art,art_074.jpg,2,0.648
14,2,38,art,art_074.jpg,2,1.3215
15,1,48,art,art_074.jpg,3,0.522
15,2,27,art,art_074.jpg,3,0.7141
16,1,83,art,art_074.jpg,3,0.644
16,2,62,art,art_074.jpg,1,1.4864
17,1,82,art,art_074.jpg,1,0.9475
17,2,80,art,art_074.jpg,1,0.8027
18,1,30,art,art_074.jpg,7,0.8259
18,2,28,art,art_074.jpg,7,0.8196
19,1,11,art,art_074.jpg,5,0.761
19,2,66,art,art_074.jpg,5,0.7155
20,1,44,art,art_074.jpg,7,1.1429
20,2,99,art,art_074.jpg,5,0.8825
21,1,19,art,art_074.jpg,5,1.465
21,2,73,art,art_074.jpg,6,0.9779
22,1,37,art,art_074.jpg,2,1.4814
22,2,91,art,art_074.jpg,3,1.2827
23,1,108,art,art_074.jpg,6,1.3342
23,2,43,art,art_074.jpg,3,0.7916
24,1,67,art,art_074.jpg,5,0.6581
24,2,2,art,art_074.jpg,6,0.5618
1,1,5,art,art_102.jpg,4,0.8547
1,2,90,art,art_102.jpg,3,0.8477
2,1,63,art,art_102.jpg,3,2.5945
2,2,17,art,art_102.jpg,3,0.7579
3,1,11,art,art_102.jpg,1,1.1308
3,2,65,art,art_102.jpg,1,0.9778
4,1,45,art,art_102.jpg,5,0.614
4,2,99,art,art_102.jpg,4,0.4979
5,1,53,art,art_102.jpg,4,0.9843
5,2,3,art,art_102.jpg,4,0.8663
6,1,107,art,art_102.jpg,2,0.6882
6,2,57,art,art_102.jpg,3,1.866
7,1,34,art,art_102.jpg,1,0.8468
7,2,4,art,art_102.jpg,1,1.4392
8,1,106,art,art_102.jpg,2,0.7303
8,2,76,art,art_102.jpg,2,0.5225
9,1,53,art,art_102.jpg,6,0.6
9,2,50,art,art_102.jpg,5,1.7138
10,1,60,art,art_102.jpg,5,0.8735
10,2,57,art,art_102.jpg,5,0.7042
11,1,65,art,art_102.jpg,5,1.0073
11,2,81,art,art_102.jpg,5,0.6031
12,1,29,art,art_102.jpg,4,0.5359
12,2,45,art,art_102.jpg,4,0.4719
13,1,70,art,art_102.jpg,6,1.0361
13,2,45,art,art_102.jpg,6,1.3104
14,1,65,art,art_102.jpg,5,0.8588
14,2,40,art,art_102.jpg,5,0.7708
15,1,86,art,art_102.jpg,5,0.6661
15,2,15,art,art_102.jpg,5,0.493
16,1,95,art,art_102.jpg,2,0.6976
16,2,24,art,art_102.jpg,2,0.687
17,1,2,art,art_102.jpg,3,1.8147
17,2,66,art,art_102.jpg,2,0.6799
18,1,44,art,art_102.jpg,1,0.8529
18,2,108,art,art_102.jpg,1,0.6978
19,1,33,art,art_102.jpg,3,1.0764
19,2,79,art,art_102.jpg,3,0.5524
20,1,31,art,art_102.jpg,3,0.8844
20,2,77,art,art_102.jpg,3,0.8007
21,1,56,art,art_102.jpg,5,1.1
21,2,80,art,art_102.jpg,3,0.6381
22,1,30,art,art_102.jpg,6,0.7286
22,2,54,art,art_102.jpg,5,0.6571
23,1,57,art,art_102.jpg,3,0.8914
23,2,75,art,art_102.jpg,2,3.091
24,1,35,art,art_102.jpg,1,1.2749
24,2,53,art,art_102.jpg,1,1.3644
1,1,6,art,art_100.jpg,3,0.862
1,2,55,art,art_100.jpg,5,2.8111
2,1,67,art,art_100.jpg,3,1.0719
2,2,81,art,art_100.jpg,3,0.9399
3,1,61,art,art_100.jpg,1,0.7443
3,2,91,art,art_100.jpg,2,0.794
4,1,19,art,art_100.jpg,6,0.9119
4,2,49,art,art_100.jpg,5,0.6782
5,1,14,art,art_100.jpg,1,0.8731
5,2,8,art,art_100.jpg,1,1.8416
6,1,102,art,art_100.jpg,6,1.2011
6,2,96,art,art_100.jpg,3,0.6824
7,1,18,art,art_100.jpg,1,0.4491
7,2,75,art,art_100.jpg,1,0.8956
8,1,35,art,art_100.jpg,1,0.784
8,2,92,art,art_100.jpg,1,0.732
9,1,64,art,art_100.jpg,4,1.2307
9,2,107,art,art_100.jpg,5,1.6161
10,1,3,art,art_100.jpg,3,0.6479
10,2,46,art,art_100.jpg,6,3.2223
11,1,26,art,art_100.jpg,2,1.4156
11,2,8,art,art_100.jpg,1,1.3791
12,1,102,art,art_100.jpg,2,0.6245
12,2,84,art,art_100.jpg,4,0.6731
13,1,51,art,art_100.jpg,1,1.0072
13,2,35,art,art_100.jpg,2,1.1771
14,1,75,art,art_100.jpg,2,0.8693
14,2,59,art,art_100.jpg,1,0.4918
15,1,35,art,art_100.jpg,5,0.6494
15,2,80,art,art_100.jpg,3,0.4955
16,1,30,art,art_100.jpg,2,0.6793
16,2,75,art,art_100.jpg,1,0.5528
17,1,14,art,art_100.jpg,2,1.291
17,2,86,art,art_100.jpg,2,1.7532
18,1,24,art,art_100.jpg,3,0.8053
18,2,96,art,art_100.jpg,2,1.0816
19,1,3,art,art_100.jpg,4,0.8198
19,2,78,art,art_100.jpg,4,0.5636
20,1,32,art,art_100.jpg,2,0.9929
20,2,107,art,art_100.jpg,1,3.2645
21,1,95,art,art_100.jpg,4,4.0334
21,2,106,art,art_100.jpg,2,0.8283
22,1,4,art,art_100.jpg,6,0.9483
22,2,15,art,art_100.jpg,6,0.5295
23,1,88,art,art_100.jpg,5,2.0896
23,2,46,art,art_100.jpg,2,0.752
24,1,64,art,art_100.jpg,1,1.8413
24,2,22,art,art_100.jpg,1,1.0342
1,1,7,art,art_089.jpg,3,1.2779
1,2,71,art,art_089.jpg,5,1.6529
2,1,70,art,art_089.jpg,6,1.5742
2,2,103,art,art_089.jpg,6,1.1295
3,1,78,art,art_089.jpg,1,2.7401
3,2,17,art,art_089.jpg,3,0.5692
4,1,93,art,art_089.jpg,4,0.56
4,2,32,art,art_089.jpg,5,0.5126
5,1,9,art,art_089.jpg,2,0.8924
5,2,31,art,art_089.jpg,2,1.2442
6,1,79,art,art_089.jpg,7,0.7148
6,2,101,art,art_089.jpg,6,0.8764
7,1,89,art,art_089.jpg,4,1.4393
7,2,7,art,art_089.jpg,4,0.5685
8,1,103,art,art_089.jpg,3,1.5052
8,2,21,art,art_089.jpg,3,1.2304
9,1,94,art,art_089.jpg,6,1.9036
9,2,34,art,art_089.jpg,7,0.8283
10,1,76,art,art_089.jpg,4,0.4367
10,2,16,art,art_089.jpg,2,1.1625
11,1,95,art,art_089.jpg,4,0.8715
11,2,105,art,art_089.jpg,2,1.1157
12,1,5,art,art_089.jpg,7,0.9507
12,2,15,art,art_089.jpg,5,0.7918
13,1,19,art,art_089.jpg,6,1.2258
13,2,42,art,art_089.jpg,6,2.1548
14,1,68,art,art_089.jpg,5,0.3926
14,2,91,art,art_089.jpg,4,4.0591
15,1,67,art,art_089.jpg,5,1.6007
15,2,7,art,art_089.jpg,6,0.7152
16,1,103,art,art_089.jpg,3,0.6284
16,2,43,art,art_089.jpg,4,0.5528
17,1,32,art,art_089.jpg,7,0.7725
17,2,47,art,art_089.jpg,3,0.7625
18,1,63,art,art_089.jpg,2,1.0584
18,2,78,art,art_089.jpg,1,1.8683
19,1,27,art,art_089.jpg,5,0.9578
19,2,54,art,art_089.jpg,5,0.6416
20,1,56,art,art_089.jpg,5,2.0525
20,2,83,art,art_089.jpg,6,5.0374
21,1,15,art,art_089.jpg,6,1.4521
21,2,67,art,art_089.jpg,6,0.9789
22,1,43,art,art_089.jpg,5,0.7591
22,2,95,art,art_089.jpg,4,0.6668
23,1,8,art,art_089.jpg,7,1.0753
23,2,9,art,art_089.jpg,6,1.0342
24,1,101,art,art_089.jpg,6,0.722
24,2,102,art,art_089.jpg,6,0.6971
1,1,8,art,art_003.jpg,4,1.8872
1,2,75,art,art_003.jpg,5,1.8578
2,1,92,art,art_003.jpg,4,1.2373
2,2,45,art,art_003.jpg,3,0.9185
3,1,34,art,art_003.jpg,1,1.2015
3,2,37,art,art_003.jpg,1,1.6979
4,1,73,art,art_003.jpg,3,1.0752
4,2,76,art,art_003.jpg,3,0.5728
5,1,22,art,art_003.jpg,2,0.8733
5,2,62,art,art_003.jpg,2,0.8075
6,1,48,art,art_003.jpg,1,0.9747
6,2,88,art,art_003.jpg,4,2.8814
7,1,100,art,art_003.jpg,4,0.699
7,2,25,art,art_003.jpg,4,1.663
8,1,85,art,art_003.jpg,3,1.0755
8,2,10,art,art_003.jpg,2,0.949
9,1,16,art,art_003.jpg,4,0.5738
9,2,36,art,art_003.jpg,5,0.8562
10,1,74,art,art_003.jpg,4,0.578
10,2,94,art,art_003.jpg,5,1.4672
11,1,73,art,art_003.jpg,1,0.715
11,2,10,art,art_003.jpg,1,1.8154
12,1,100,art,art_003.jpg,3,0.7062
12,2,37,art,art_003.jpg,3,0.6254
13,1,109,art,art_003.jpg,1,1.1684
13,2,82,art,art_003.jpg,1,0.9395
14,1,28,art,art_003.jpg,2,1.6416
14,2,1,art,art_003.jpg,2,1.1897
15,1,26,art,art_003.jpg,4,0.8102
15,2,103,art,art_003.jpg,3,0.5392
16,1,7,art,art_003.jpg,5,0.7105
16,2,84,art,art_003.jpg,4,1.9511
17,1,64,art,art_003.jpg,3,0.8131
17,2,58,art,art_003.jpg,5,0.7923
18,1,52,art,art_003.jpg,6,0.818
18,2,46,art,art_003.jpg,6,0.9209
19,1,75,art,art_003.jpg,3,1.1829
