"model","train_type","model_layer","model_layer_depth","score","model_string"
"vit_tiny_patch16_224","imagenet","Linear-49",1,0.572996687501984,"vit_tiny_patch16_224_imagenet"
"ResNet50-MoCoV2-BS256","selfsupervised","AdaptiveAvgPool2d-1",1,0.57120101070103,"ResNet50-MoCoV2-BS256_selfsupervised"
"ResNet50-NPID-4KNegative","selfsupervised","AdaptiveAvgPool2d-1",1,0.57120101070103,"ResNet50-NPID-4KNegative_selfsupervised"
"faster_rcnn_X_101_32x8d_FPN_3x","detectron","FrozenBatchNorm2d-96",0.863945578231292,0.568768988347815,"faster_rcnn_X_101_32x8d_FPN_3x_detectron"
"squeezenet1_0","imagenet","AdaptiveAvgPool2d-1",1,0.567834647722522,"squeezenet1_0_imagenet"
"ResNet50-ClusterFit-16K-RotNet","selfsupervised","AdaptiveAvgPool2d-1",1,0.566253573064271,"ResNet50-ClusterFit-16K-RotNet_selfsupervised"
"vit_base_patch16_224_miil_in21k","imagenet21k","Linear-39",0.789473684210526,0.565683073842774,"vit_base_patch16_224_miil_in21k_imagenet21k"
"faster_rcnn_R_101_FPN_3x","detectron","BottleneckBlock-32",0.91156462585034,0.562545280310589,"faster_rcnn_R_101_FPN_3x_detectron"
"shufflenet_v2_x0_5","imagenet","Linear-1",1,0.560800778651044,"shufflenet_v2_x0_5_imagenet"
"mask_rcnn_R_101_FPN_3x","detectron","BottleneckBlock-32",0.91156462585034,0.560210007867407,"mask_rcnn_R_101_FPN_3x_detectron"
"faster_rcnn_R_101_DC5_3x","detectron","BottleneckBlock-32",0.971014492753623,0.557271604569941,"faster_rcnn_R_101_DC5_3x_detectron"
"mask_rcnn_R_50_FPN_3x","detectron","BottleneckBlock-15",0.835443037974684,0.550099443978442,"mask_rcnn_R_50_FPN_3x_detectron"
"faster_rcnn_R_50_FPN_3x","detectron","BottleneckBlock-15",0.835443037974684,0.546289908427787,"faster_rcnn_R_50_FPN_3x_detectron"
"mask_rcnn_R_101_DC5_3x","detectron","BottleneckBlock-31",0.942028985507246,0.546137958477444,"mask_rcnn_R_101_DC5_3x_detectron"
"panoptic_fpn_R_50_3x","detectron","BottleneckBlock-15",0.835443037974684,0.542572286160798,"panoptic_fpn_R_50_3x_detectron"
"mask_rcnn_R_101_C4_3x","detectron","BottleneckBlock-28",0.936,0.542430813018704,"mask_rcnn_R_101_C4_3x_detectron"
"faster_rcnn_R_50_DC5_3x","detectron","FrozenBatchNorm2d-48",0.9,0.538719817435003,"faster_rcnn_R_50_DC5_3x_detectron"
"faster_rcnn_R_101_C4_3x","detectron","BottleneckBlock-28",0.936,0.537591394325339,"faster_rcnn_R_101_C4_3x_detectron"
"mask_rcnn_R_50_DC5_3x","detectron","BottleneckBlock-15",0.942857142857143,0.535938910508534,"mask_rcnn_R_50_DC5_3x_detectron"
"nasnetalarge","imagenet","Conv2d-665",0.937007874015748,0.531769317436438,"nasnetalarge_imagenet"
"faster_rcnn_R_50_C4_3x","detectron","BottleneckBlock-12",0.929824561403509,0.513351888584762,"faster_rcnn_R_50_C4_3x_detectron"
"mask_rcnn_R_50_C4_3x","detectron","BottleneckBlock-13",1,0.508095296137671,"mask_rcnn_R_50_C4_3x_detectron"
"ResNet50-JigSaw-P100","selfsupervised","AdaptiveAvgPool2d-1",1,0.496515225148357,"ResNet50-JigSaw-P100_selfsupervised"
"ResNet50-JigSaw-Goyal19","selfsupervised","AdaptiveAvgPool2d-1",1,0.489722540390935,"ResNet50-JigSaw-Goyal19_selfsupervised"
"mixer_b16_224_miil_in21k","imagenet21k","Linear-9",0.193548387096774,0.487185807073087,"mixer_b16_224_miil_in21k_imagenet21k"
"ResNet50-RotNet","selfsupervised","AdaptiveAvgPool2d-1",1,0.463272428854365,"ResNet50-RotNet_selfsupervised"
